sample_id	cluster_id	size	mean	std
BM35_M	1	12	0.27833550205191393	0.012219912290794733
BM35_P	1	12	0.2921536060462809	0.019023564633096197
BM35_M	2	25	0.02988302100748721	0.0011605570184612369
BM35_P	2	25	0.03997106237883875	0.002083189206389856
BM35_M	3	78	0.08971047038972876	0.0021272100366926225
BM35_P	3	78	0.07662862030304188	0.0048491534909105025
BM35_M	4	47	0.15979488793234484	0.00592609495382574
BM35_P	4	47	0.13801380829074814	0.007259882083108942
BM35_M	5	5	0.9049419513228778	0.021026301125096642
BM35_P	5	5	0.7614177952347188	0.22174314990268074
BM35_M	6	2	0.7824744930297365	0.019214982390005016
BM35_P	6	2	0.1058452991203261	0.025614106469970775
